"Ward No","Ward Name","BBMP Zone Name","BBMP Division","BBMP Sub Division","Assembly constituency","MP Constituency"
"102","Vrisahbhavathi Nagar","West","Mahalakshmi Layout","Naagapura","Mahalakshmi Layout","Bangalore North"
"103","Kaveripura","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"104","Govindaraja Nagar","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"105","Agrahara Dasarahalli","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"106","Dr.Raj Kumar Ward","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"107","Shiva Nagar","West","Rajajinagar","Rajajinagar","Rajaji Nagar","Bangalore Central"
"108","Sri Rama Mandir Ward","West","Rajajinagar","Srirama Mandir","Rajaji Nagar","Bangalore Central"
"109","Chickpete","West","Gandhi Nagar","Chikpet","Gandhi Nagar","Bangalore Central"
"110","Sampangiram Nagar","East","Shivaji Nagar","Vasanth Nagar","Shivaji Nagar","Bangalore Central"
"111","Shantala Nagar","East","Shanti Nagar","Shanti Nagar","Shanthi Nagar","Bangalore Central"
"112","Domlur","East","Shanti Nagar","Dommalooru","Shanthi Nagar","Bangalore Central"
"113","Konena Agrahara","East","C.V.Raman Nagar","Jeevanbheema Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"114","Agaram","East","Shanti Nagar","Dommalooru","Shanthi Nagar","Bangalore Central"
"115","Vannar Pet","East","Shanti Nagar","Dommalooru","Shanthi Nagar","Bangalore Central"
"116","Nilasandra","East","Shanti Nagar","Shanti Nagar","Shanthi Nagar","Bangalore Central"
"117","Shanthi Nagar","East","Shanti Nagar","Shanti Nagar","Shanthi Nagar","Bangalore Central"
"118","Sudham Nagar","South","Chikpete","Kempegowda Nagar","Chickpet","Bangalore South"
"119","Dharmaraya Swamy Temple","South","Chikpete","Kempegowda Nagar","Chickpet","Bangalore South"
"120","Cottonpete","West","Gandhi Nagar","Chikpet","Gandhi Nagar","Bangalore Central"
"121","Binni Pete","West","Gandhi Nagar","Chikpet","Gandhi Nagar","Bangalore Central"
"122","Kempapura Agrahara","South","Vijay Nagar","Vijay Nagar","ViJayanagar","Bangalore South"
"123","ViJayanagar","South","Vijay Nagar","Vijay Nagar","ViJayanagar","Bangalore South"
"124","Hosahalli","South","Vijay Nagar","Vijay Nagar","ViJayanagar","Bangalore South"
"125","Marenahalli","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"126","Maruthi Mandir Ward","West","Govindaraj Nagar","Chandra Layout","Govindaraja Nagar","Bangalore South"
"127","Mudalapalya","West","Govindaraj Nagar","Chandra Layout","Govindaraja Nagar","Bangalore South"
"128","Nagarabhavi","West","Govindaraj Nagar","Chandra Layout","Govindaraja Nagar","Bangalore South"
"129","Jnana Bharathi Ward","Rajarajeswari Nagar","Rajarajeshwari Nagar","Rajarajeshwari Nagar","Rajarajeswari Nagar","Bangalore North"
"130","Ullalu","Rajarajeswari Nagar","Kengeri","Kengeri","Yeshwantpura","Bangalore North"
"131","Nayandahalli","West","Govindaraj Nagar","Chandra Layout","Govindaraja Nagar","Bangalore South"
"132","Attiguppe","South","Vijay Nagar","Gaali Anjaneya Temple","ViJayanagar","Bangalore South"
"133","Hampi Nagar","South","Vijay Nagar","Gaali Anjaneya Temple","ViJayanagar","Bangalore South"
"134","Bapuji Nagar","South","Vijay Nagar","Vijay Nagar","ViJayanagar","Bangalore South"
"135","Padarayanapura","West","Chamarajpete","Jagajeevanram Nagar","Chamarajpet","Bangalore Central"
"136","Jagajivanaram Nagar","West","Chamarajpete","Jagajeevanram Nagar","Chamarajpet","Bangalore Central"
"137","Rayapuram","West","Chamarajpete","Jagajeevanram Nagar","Chamarajpet","Bangalore Central"
"138","Chelavadi Palya","West","Chamarajpete","Jagajeevanram Nagar","Chamarajpet","Bangalore Central"
"139","KR Market","West","Chamarajpete","Chamarajpete","Chamarajpet","Bangalore Central"
"140","Chamraja Pet","West","Chamarajpete","Chamarajpete","Chamarajpet","Bangalore Central"
"141","Azad Nagar","West","Chamarajpete","Chamarajpete","Chamarajpet","Bangalore Central"
"142","Sunkenahalli","South","Chikpete","Kempegowda Nagar","Chickpet","Bangalore South"
"143","Vishveshwara Puram","South","Chikpete","Kempegowda Nagar","Chickpet","Bangalore South"
"144","Siddapura","South","Chikpete","Hombegowda Nagar","Chickpet","Bangalore South"
"145","Hombegowda Nagar","South","Chikpete","Hombegowda Nagar","Chickpet","Bangalore South"
"146","Lakkasandra","South","BTM Layout","BTM Layout","B.T.M. Layout","Bangalore South"
